n,time,threads
9,0.000994,1
9,0.003764,2
9,0.004213,3
9,0.004567,4
19,0.003627,1
19,0.017028,2
19,0.014585,3
19,0.020320,4
39,0.018253,1
39,0.071892,2
39,0.061204,3
39,0.082612,4
79,0.101833,1
79,0.305264,2
79,0.324064,3
79,0.332287,4
159,0.643705,1
159,1.306411,2
159,1.115692,3
159,1.367860,4
319,4.417343,1
319,6.309645,2
319,5.430724,3
319,6.173918,4
639,32.605699,1
639,32.933621,2
639,27.433712,3
639,29.995397,4
1279,250.649555,1
1279,194.379783,2
1279,159.730052,3
1279,155.426251,4
2559,4021.951292,1
2559,2301.320732,2
2559,1686.484314,3
2559,1418.332798,4
5119,31931.617862,1
5119,17461.895948,2
